PNOME,QTDE,PERC
THAISA,123,0.0191
AURELIO,123,0.0191
CRISTIAN,123,0.0191
EMILIO,123,0.0191
HERBERT,122,0.0189
IOLANDA,121,0.0187
TERESINHA,121,0.0187
ELOISA,120,0.0186
JOHN,120,0.0186
PLINIO,120,0.0186
ELDER,120,0.0186
STELLA,120,0.0186
ALDA,120,0.0186
LOUISE,119,0.0184
NEUZA,119,0.0184
DIRCEU,118,0.0183
GETULIO,118,0.0183
JARBAS,118,0.0183
FAUSTO,118,0.0183
ELIEZER,117,0.0181
SAMANTHA,117,0.0181
STEPHANIE,117,0.0181
LIANE,117,0.0181
VILSON,117,0.0181
EVELINE,116,0.0180
FRANK,116,0.0180
ALEXSANDRA,116,0.0180
SILAS,116,0.0180
WILTON,116,0.0180
OLGA,115,0.0178
LOURDES,115,0.0178
ELENICE,115,0.0178
ELCIO,115,0.0178
EDMUNDO,114,0.0177
JURANDIR,114,0.0177
HILTON,113,0.0175
YASMIN,113,0.0175
IONE,113,0.0175
ANDREY,112,0.0174
ANELISE,112,0.0174
ELEN,112,0.0174
JACKELINE,112,0.0174
HELTON,112,0.0174
VILMAR,112,0.0174
ERNANI,112,0.0174
THAYS,112,0.0174
IVONETE,112,0.0174
IVETE,112,0.0174
MEIRE,111,0.0172
ERALDO,111,0.0172
TACIANA,111,0.0172
ELIZA,111,0.0172
ICARO,110,0.0170
JANICE,110,0.0170
JANINE,110,0.0170
ELIS,110,0.0170
MARCONI,109,0.0169
ROSSANA,109,0.0169
CAMILO,109,0.0169
ADELSON,109,0.0169
HILDA,109,0.0169
LILIANA,108,0.0167
JOSEMAR,108,0.0167
SEBASTIANA,108,0.0167
CELINA,107,0.0166
DIOGENES,106,0.0164
AMELIA,106,0.0164
MARLUCE,105,0.0163
MAIARA,105,0.0163
GILMARA,105,0.0163
AGUINALDO,105,0.0163
OSWALDO,105,0.0163
GELSON,105,0.0163
NATASHA,105,0.0163
RENE,105,0.0163
EMANUELLE,105,0.0163
GEISA,104,0.0161
LINCOLN,104,0.0161
JESUS,104,0.0161
NATANAEL,104,0.0161
ROBERT,104,0.0161
JADER,103,0.0160
RUBEM,103,0.0160
LINDOMAR,103,0.0160
ELI,103,0.0160
CASSIANO,103,0.0160
MELINA,103,0.0160
EWERTON,102,0.0158
MERCIA,102,0.0158
JARDEL,102,0.0158
DULCE,102,0.0158
CRISTINE,102,0.0158
MORGANA,102,0.0158
GEOVANA,101,0.0156
EDERSON,101,0.0156
DANIELLY,101,0.0156
LUCELIA,101,0.0156
JORDANA,101,0.0156
JOELSON,101,0.0156
RICHARD,101,0.0156
ARI,101,0.0156
ELIZEU,100,0.0155
CLAUDINEI,100,0.0155
NEY,100,0.0155
ROMILDO,100,0.0155
DILMA,99,0.0153
MARISE,99,0.0153
SOFIA,99,0.0153
DILSON,99,0.0153
GISELA,99,0.0153
GERMANO,98,0.0152
WANDER,98,0.0152
EDINALDO,98,0.0152
MARIANNA,98,0.0152
ARY,98,0.0152
TASSIA,98,0.0152
GIULIANO,98,0.0152
EMMANUEL,97,0.0150
CICERA,97,0.0150
MARINALVA,97,0.0150
ERIVALDO,97,0.0150
ABEL,97,0.0150
ELIENE,97,0.0150
AMILTON,96,0.0149
JAILTON,96,0.0149
RAYSSA,96,0.0149
MESSIAS,96,0.0149
HERMES,95,0.0147
ESTELA,95,0.0147
COSME,95,0.0147
MAURA,95,0.0147
EMANOEL,94,0.0146
