PNOME,QTDE,PERC
DORIS,10,0.01564577955096613
JONATAS,10,0.01564577955096613
JUAN,10,0.01564577955096613
LIANE,10,0.01564577955096613
INEZ,10,0.01564577955096613
ALCIONE,10,0.01564577955096613
GILDO,10,0.01564577955096613
DULCE,10,0.01564577955096613
CLODOALDO,10,0.01564577955096613
EVELYN,10,0.01564577955096613
NANCI,10,0.01564577955096613
INACIO,10,0.01564577955096613
ELANE,10,0.01564577955096613
MELISSA,10,0.01564577955096613
ENEIDA,10,0.01564577955096613
CLAUDEMIR,10,0.01564577955096613
MAXWELL,10,0.01564577955096613
MARCONDES,10,0.01564577955096613
REYNALDO,10,0.01564577955096613
NATANAEL,10,0.01564577955096613
DECIO,10,0.01564577955096613
HERBERT,10,0.01564577955096613
ANGELITA,10,0.01564577955096613
ANELISE,10,0.01564577955096613
HILDA,10,0.01564577955096613
ANTENOR,10,0.01564577955096613
KARIN,10,0.01564577955096613
CLARISSE,10,0.01564577955096613
NATASHA,10,0.01564577955096613
ERIVALDO,10,0.01564577955096613
ELISEU,10,0.01564577955096613
NEIVA,10,0.01564577955096613
WANESSA,10,0.01564577955096613
DAISY,10,0.01564577955096613
BERNADETE,10,0.01564577955096613
ESTHER,10,0.01564577955096613
ROSEANE,10,0.01564577955096613
FRANCINE,9,0.014081201595869515
LEOPOLDO,9,0.014081201595869515
OTACILIO,9,0.014081201595869515
LUCILA,9,0.014081201595869515
WALDEMIR,9,0.014081201595869515
ADONIAS,9,0.014081201595869515
PLINIO,9,0.014081201595869515
NIVIA,9,0.014081201595869515
FRANCILENE,9,0.014081201595869515
BENICIO,9,0.014081201595869515
TOMAS,9,0.014081201595869515
MARINETE,9,0.014081201595869515
ALTAMIR,9,0.014081201595869515
BRAZ,9,0.014081201595869515
BRENDA,9,0.014081201595869515
TULIO,9,0.014081201595869515
HERCULES,9,0.014081201595869515
JOSEANE,9,0.014081201595869515
DARCI,9,0.014081201595869515
ALONSO,9,0.014081201595869515
BARTOLOMEU,9,0.014081201595869515
CLAUDIONOR,9,0.014081201595869515
GILMARA,9,0.014081201595869515
IRACI,9,0.014081201595869515
