UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
NOBRE,31,0.0485,,5,ERBON,E,R,B,O,N,,,,,,,,,,,
BARBOZA,30,0.0469,,7,AZOBRAB,A,Z,O,B,R,A,B,,,,,,,,,
BAPTISTA,30,0.0469,,8,ATSITPAB,A,T,S,I,T,P,A,B,,,,,,,,
LOUREIRO,30,0.0469,,8,ORIERUOL,O,R,I,E,R,U,O,L,,,,,,,,
SANTO,29,0.0454,,5,OTNAS,O,T,N,A,S,,,,,,,,,,,
ANNA,29,0.0454,,4,ANNA,A,N,N,A,,,,,,,,,,,,
LESSA,29,0.0454,,5,ASSEL,A,S,S,E,L,,,,,,,,,,,
GOES,29,0.0454,,4,SEOG,S,E,O,G,,,,,,,,,,,,
FRANCISCO,29,0.0454,,9,OCSICNARF,O,C,S,I,C,N,A,R,F,,,,,,,
LEITAO,28,0.0438,,6,OATIEL,O,A,T,I,E,L,,,,,,,,,,
VERAS,28,0.0438,,5,SAREV,S,A,R,E,V,,,,,,,,,,,
LINHARES,28,0.0438,,8,SERAHNIL,S,E,R,A,H,N,I,L,,,,,,,,
NOVAES,28,0.0438,,6,SEAVON,S,E,A,V,O,N,,,,,,,,,,
PAIXAO,28,0.0438,,6,OAXIAP,O,A,X,I,A,P,,,,,,,,,,
PIMENTA,28,0.0438,,7,ATNEMIP,A,T,N,E,M,I,P,,,,,,,,,
BOMFIM,28,0.0438,,6,MIFMOB,M,I,F,M,O,B,,,,,,,,,,
TOLEDO,28,0.0438,,6,ODELOT,O,D,E,L,O,T,,,,,,,,,,
LUCAS,27,0.0422,,5,SACUL,S,A,C,U,L,,,,,,,,,,,
EVANGELISTA,27,0.0422,,11,ATSILEGNAVE,A,T,S,I,L,E,G,N,A,V,E,,,,,
CESAR,27,0.0422,,5,RASEC,R,A,S,E,C,,,,,,,,,,,
FIGUEIRA,27,0.0422,,8,ARIEUGIF,A,R,I,E,U,G,I,F,,,,,,,,
VEIGA,27,0.0422,,5,AGIEV,A,G,I,E,V,,,,,,,,,,,
GOULART,27,0.0422,,7,TRALUOG,T,R,A,L,U,O,G,,,,,,,,,
BORBA,26,0.0407,,5,ABROB,A,B,R,O,B,,,,,,,,,,,
LOBATO,26,0.0407,,6,OTABOL,O,T,A,B,O,L,,,,,,,,,,
FRAGA,26,0.0407,,5,AGARF,A,G,A,R,F,,,,,,,,,,,
PEDROSA,26,0.0407,,7,ASORDEP,A,S,O,R,D,E,P,,,,,,,,,
SOUTO,26,0.0407,,5,OTUOS,O,T,U,O,S,,,,,,,,,,,
PAES,26,0.0407,,4,SEAP,S,E,A,P,,,,,,,,,,,,
ALVARENGA,26,0.0407,,9,AGNERAVLA,A,G,N,E,R,A,V,L,A,,,,,,,
GOUVEIA,25,0.0391,,7,AIEVUOG,A,I,E,V,U,O,G,,,,,,,,,
SALDANHA,25,0.0391,,8,AHNADLAS,A,H,N,A,D,L,A,S,,,,,,,,
ROSARIO,25,0.0391,,7,OIRASOR,O,I,R,A,S,O,R,,,,,,,,,
NETTO,25,0.0391,PT,5,OTTEN,O,T,T,E,N,,,,,,,,,,,
BRAZ,25,0.0391,,4,ZARB,Z,A,R,B,,,,,,,,,,,,
RIOS,24,0.0375,,4,SOIR,S,O,I,R,,,,,,,,,,,,
GONZAGA,24,0.0375,,7,AGAZNOG,A,G,A,Z,N,O,G,,,,,,,,,
BUENO,24,0.0375,,5,ONEUB,O,N,E,U,B,,,,,,,,,,,
DOMINGOS,24,0.0375,,8,SOGNIMOD,S,O,G,N,I,M,O,D,,,,,,,,
MEIRA,24,0.0375,,5,ARIEM,A,R,I,E,M,,,,,,,,,,,
ANA,24,0.0375,,3,ANA,A,N,A,,,,,,,,,,,,,
BISPO,24,0.0375,,5,OPSIB,O,P,S,I,B,,,,,,,,,,,
PADILHA,24,0.0375,,7,AHLIDAP,A,H,L,I,D,A,P,,,,,,,,,
VILELA,23,0.0360,,6,ALELIV,A,L,E,L,I,V,,,,,,,,,,
PEDROSO,23,0.0360,,7,OSORDEP,O,S,O,R,D,E,P,,,,,,,,,
CAMPELO,23,0.0360,,7,OLEPMAC,O,L,E,P,M,A,C,,,,,,,,,
SARMENTO,23,0.0360,,8,OTNEMRAS,O,T,N,E,M,R,A,S,,,,,,,,
PAULO,23,0.0360,,5,OLUAP,O,L,U,A,P,,,,,,,,,,,
ALEXANDRE,23,0.0360,,9,ERDNAXELA,E,R,D,N,A,X,E,L,A,,,,,,,
VENTURA,23,0.0360,,7,ARUTNEV,A,R,U,T,N,E,V,,,,,,,,,
BERNARDES,23,0.0360,,9,SEDRANREB,S,E,D,R,A,N,R,E,B,,,,,,,
QUADROS,22,0.0344,,7,SORDAUQ,S,O,R,D,A,U,Q,,,,,,,,,
PORTELA,22,0.0344,,7,ALETROP,A,L,E,T,R,O,P,,,,,,,,,
MORENO,22,0.0344,,6,ONEROM,O,N,E,R,O,M,,,,,,,,,,
SALGADO,22,0.0344,,7,ODAGLAS,O,D,A,G,L,A,S,,,,,,,,,
JORGE,22,0.0344,,5,EGROJ,E,G,R,O,J,,,,,,,,,,,
BERNARDO,22,0.0344,,8,ODRANREB,O,D,R,A,N,R,E,B,,,,,,,,
MARINS,21,0.0329,,6,SNIRAM,S,N,I,R,A,M,,,,,,,,,,
SALLES,21,0.0329,,6,SELLAS,S,E,L,L,A,S,,,,,,,,,,
COIMBRA,21,0.0329,,7,ARBMIOC,A,R,B,M,I,O,C,,,,,,,,,
BRUM,21,0.0329,,4,MURB,M,U,R,B,,,,,,,,,,,,
GOIS,21,0.0329,PT,4,SIOG,S,I,O,G,,,,,,,,,,,,
BENTO,21,0.0329,,5,OTNEB,O,T,N,E,B,,,,,,,,,,,
PARENTE,20,0.0313,,7,ETNERAP,E,T,N,E,R,A,P,,,,,,,,,
SANCHES,20,0.0313,,7,SEHCNAS,S,E,H,C,N,A,S,,,,,,,,,
ARANTES,20,0.0313,,7,SETNARA,S,E,T,N,A,R,A,,,,,,,,,
CANDIDO,20,0.0313,,7,ODIDNAC,O,D,I,D,N,A,C,,,,,,,,,
BARCELLOS,20,0.0313,,9,SOLLECRAB,S,O,L,L,E,C,R,A,B,,,,,,,
PANTOJA,20,0.0313,,7,AJOTNAP,A,J,O,T,N,A,P,,,,,,,,,
CALDEIRA,20,0.0313,,8,ARIEDLAC,A,R,I,E,D,L,A,C,,,,,,,,
LUIZ,20,0.0313,,4,ZIUL,Z,I,U,L,,,,,,,,,,,,
DOURADO,19,0.0297,,7,ODARUOD,O,D,A,R,U,O,D,,,,,,,,,
NERY,19,0.0297,,4,YREN,Y,R,E,N,,,,,,,,,,,,
VALLE,19,0.0297,,5,ELLAV,E,L,L,A,V,,,,,,,,,,,
FELIPE,19,0.0297,,6,EPILEF,E,P,I,L,E,F,,,,,,,,,,
FIALHO,19,0.0297,,6,OHLAIF,O,H,L,A,I,F,,,,,,,,,,
BARCELOS,19,0.0297,,8,SOLECRAB,S,O,L,E,C,R,A,B,,,,,,,,
AFONSO,19,0.0297,,6,OSNOFA,O,S,N,O,F,A,,,,,,,,,,
