UNOME,QTDE,PERC
CURY,4,0.0063
BENDER,4,0.0063
JATOBA,4,0.0063
TANAKA,4,0.0063
NAZARETH,4,0.0063
CASSEMIRO,4,0.0063
CYPRIANO,4,0.0063
HURTADO,4,0.0063
BEM,4,0.0063
MARTIN,4,0.0063
SANTORO,4,0.0063
SALGUEIRO,4,0.0063
MURTA,4,0.0063
LAMEIRA,4,0.0063
ABRAO,4,0.0063
MARCOLINO,4,0.0063
CAMARGOS,4,0.0063
FELICIO,4,0.0063
CIRQUEIRA,4,0.0063
BENIGNO,4,0.0063
LADISLAU,4,0.0063
MARCELO,4,0.0063
VIRGENS,4,0.0063
VALERIANO,4,0.0063
IGLESIAS,4,0.0063
JAQUES,4,0.0063
JANNUZZI,4,0.0063
KUNZ,4,0.0063
SARDINHA,4,0.0063
VILARIM,4,0.0063
CALEGARI,4,0.0063
CECILIO,4,0.0063
MAYRINK,4,0.0063
VILAR,4,0.0063
RITTER,4,0.0063
DAVI,4,0.0063
EULALIO,4,0.0063
BELCHIOR,4,0.0063
CASTANON,4,0.0063
CALADO,4,0.0063
DAHER,4,0.0063
BALTAZAR,4,0.0063
VARELLA,4,0.0063
RECH,4,0.0063
BELISARIO,4,0.0063
ORTIZ,4,0.0063
MARINO,4,0.0063
MARIN,4,0.0063
SARTORI,4,0.0063
O,4,0.0063
CALHEIROS,4,0.0063
SENRA,4,0.0063
DAMASO,4,0.0063
CID,4,0.0063
CAMPELLO,4,0.0063
KADRI,4,0.0063
MOUTINHO,4,0.0063
CURI,4,0.0063
HERZOG,4,0.0063
DAMASCENA,4,0.0063
BARRA,4,0.0063
BERGER,4,0.0063
SUZART,4,0.0063
AYROSA,4,0.0063
FIRME,4,0.0063
UZEDA,4,0.0063
FOGACA,4,0.0063
SANSON,4,0.0063
BERGMANN,4,0.0063
SIMONATO,4,0.0063
RIBAMAR,4,0.0063
BARONI,4,0.0063
NOBLAT,4,0.0063
LAMOUNIER,4,0.0063
FAVACHO,3,0.0047
PIROLA,3,0.0047
CAMPETTI,3,0.0047
TABORDA,3,0.0047
ANGELIM,3,0.0047
FAVERO,3,0.0047
EVARISTO,3,0.0047
PORTILHO,3,0.0047
FAVARO,3,0.0047
CIRNE,3,0.0047
MAURITY,3,0.0047
WOLFF,3,0.0047
ACIOLI,3,0.0047
CORIOLANO,3,0.0047
FABRIS,3,0.0047
CONTI,3,0.0047
SUAREZ,3,0.0047
MARREIROS,3,0.0047
GHISI,3,0.0047
GALIZA,3,0.0047
CANCELLA,3,0.0047
CANCADO,3,0.0047
LUCIANO,3,0.0047
BORRALHO,3,0.0047
PIO,3,0.0047
MARRIEL,3,0.0047
REINALDO,3,0.0047
RENOVATO,3,0.0047
CALVO,3,0.0047
ABDALLA,3,0.0047
RICARTE,3,0.0047
SERRANO,3,0.0047
CIRINO,3,0.0047
PLACIDO,3,0.0047
ROSADO,3,0.0047
TOLENTINO,3,0.0047
REY,3,0.0047
CAMBRAIA,3,0.0047
MARTINIANO,3,0.0047
REYES,3,0.0047
RIPARDO,3,0.0047
FARACO,3,0.0047
LUTZ,3,0.0047
ABRAHAO,3,0.0047
ANDREATTA,3,0.0047
LUIS,3,0.0047
CARBONERA,3,0.0047
FAVA,3,0.0047
FAJARDO,3,0.0047
LUCINDO,3,0.0047
YAMAMOTO,3,0.0047
FABIANO,3,0.0047
CAMARAO,3,0.0047
MIOTTO,3,0.0047
CANAL,3,0.0047
TODESCHINI,3,0.0047
CARACAS,3,0.0047
SUCUPIRA,3,0.0047
ROSENDO,3,0.0047
MASSENA,3,0.0047
ANCHIETA,3,0.0047
YAMAGUCHI,3,0.0047
GENEROSO,3,0.0047
GEHLEN,3,0.0047
CARDEAL,3,0.0047
ELEUTERIO,3,0.0047
MADEIRO,3,0.0047
MALHEIROS,3,0.0047
QUEVEDO,3,0.0047
FISCHER,3,0.0047
MELONIO,3,0.0047
MARANGONI,3,0.0047
FRADE,3,0.0047
CANGUSSU,3,0.0047
BUSS,3,0.0047
MALLMANN,3,0.0047
TARGINO,3,0.0047
ZAMPROGNO,3,0.0047
MELHORANCA,3,0.0047
ALARCAO,3,0.0047
FIORI,3,0.0047
MESCOUTO,3,0.0047
ZAMPIERI,3,0.0047
CANTUARIA,3,0.0047
ALANO,3,0.0047
ROLDAO,3,0.0047
ESPINDULA,3,0.0047
FRANKLIN,3,0.0047
BRUNET,3,0.0047
BURMANN,3,0.0047
MERIGUETE,3,0.0047
FORTUNA,3,0.0047
ERSE,3,0.0047
FOGOS,3,0.0047
ALCOFORADO,3,0.0047
ALEIXO,3,0.0047
ZANETTI,3,0.0047
TAVORA,3,0.0047
ALELUIA,3,0.0047
SCHWARZ,3,0.0047
MANDARINO,3,0.0047
ALBRECHT,3,0.0047
QUINTAO,3,0.0047
ALBINO,3,0.0047
COLLARES,3,0.0047
MANSUR,3,0.0047
